id,sentiment
0,3
1,3
2,4
3,3
4,3
5,3
6,2
7,3
8,3
9,3
10,3
11,3
12,3
13,3
14,3
15,4
16,3
17,3
18,3
19,3
20,3
21,2
22,4
23,3
24,2
25,3
26,3
27,3
28,3
29,3
30,3
31,3
32,3
33,3
34,3
35,3
36,4
37,2
38,3
39,3
40,3
41,3
42,4
43,3
44,4
45,3
46,4
47,3
48,3
49,4
50,3
51,3
52,3
53,3
54,3
55,3
56,3
57,4
58,3
59,4
60,2
61,4
62,3
63,3
64,3
65,2
66,3
67,4
68,4
69,3
70,3
71,3
72,3
73,3
74,3
75,3
76,3
77,3
78,3
79,3
80,3
81,3
82,3
83,3
84,3
85,4
86,3
87,3
88,3
89,3
90,2
91,2
92,2
93,4
94,3
95,4
96,3
97,2
98,3
99,3
100,3
101,3
102,3
103,3
104,4
105,3
106,3
107,3
108,3
109,4
110,3
111,3
112,3
113,3
114,3
115,3
116,3
117,3
118,3
119,2
120,4
121,3
122,3
123,3
124,3
125,4
126,3
127,3
128,2
129,3
130,3
131,3
132,3
133,3
134,4
135,3
136,3
137,4
138,3
139,3
140,3
141,3
142,3
143,3
144,3
145,3
146,3
147,4
148,3
149,4
150,3
151,4
152,3
153,3
154,4
155,4
156,3
157,3
158,3
159,4
160,4
161,3
162,3
163,3
164,3
165,3
166,3
167,3
168,3
169,3
170,3
171,3
172,3
173,3
174,4
175,3
176,3
177,3
178,4
179,3
180,3
181,4
182,3
183,4
184,3
185,3
186,3
187,3
188,3
189,3
190,3
191,3
192,3
193,3
194,4
195,3
196,3
197,3
198,4
199,3
200,3
201,3
202,3
203,3
204,3
205,3
206,4
207,3
208,3
209,3
210,4
211,3
212,3
213,3
214,3
215,3
216,3
217,3
218,3
219,4
220,3
221,3
222,3
223,3
224,3
225,3
226,3
227,4
228,3
229,4
230,4
231,3
232,3
233,4
234,3
235,3
236,4
237,3
238,3
239,3
240,4
241,3
242,3
243,3
244,2
245,3
246,3
247,3
248,4
249,3
250,3
251,3
252,3
253,3
254,3
255,3
256,2
257,3
258,3
259,3
260,3
261,3
262,3
263,2
264,3
265,3
266,4
267,4
268,3
269,3
270,3
271,3
272,4
273,3
274,3
275,3
276,3
277,3
278,3
279,3
280,3
281,3
282,4
283,4
284,4
285,3
286,3
287,4
288,4
289,3
290,3
291,3
292,3
293,3
294,4
295,4
296,3
297,3
298,3
299,3
